Class,Word,TF-IDF Value,Prior,Likelihood,Posterior
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",kendara,0.5566863088790771,0.1226851851851852,6.560475717708586e-05,4.480618787602926e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",celaka,0.48989700655282226,0.1226851851851852,0.00015701120327892164,9.436860832233381e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",orang,0.45805274212447733,0.1226851851851852,0.0002811746554586355,1.580097121130291e-05
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",sopir,0.4461329644412021,0.1226851851851852,6.921448507746697e-05,3.7883790757493735e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",laku,0.4021834705039758,0.1226851851851852,8.753676853900277e-05,4.319235167798906e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",jalan,0.38456765539817817,0.1226851851851852,0.00013244183816775708,6.248705788385099e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",kemudi,0.3410119489436628,0.1226851851851852,7.110792750403519e-05,2.974950476864059e-06
Melakukan Gerakan Berat,kpps,0.999,0.1226851851851852,6.238728959182049e-05,7.6463421805975e-06
Melakukan Gerakan Berat,tugas,0.7431447461560122,0.1226851851851852,0.0001194603293573286,1.0891538785199482e-05
Melakukan Gerakan Berat,milu,0.6724473398633047,0.1226851851851852,6.238728959182049e-05,5.146909368395765e-06
Melakukan Gerakan Berat,lelah,0.6312252905939136,0.1226851851851852,6.238728959182049e-05,4.831395960889045e-06
Melakukan Gerakan Berat,tinggal,0.5346994928826704,0.1226851851851852,0.00021682167647077592,1.4223438296549536e-05
Melakukan Gerakan Berat,kpu,0.5097313373402624,0.1226851851851852,6.238728959182049e-05,3.901481707184406e-06
Melakukan Gerakan Berat,sakit,0.4163498892561371,0.1226851851851852,0.00016078283597300568,8.212781355179107e-06
Melakukan Gerakan Berat,tps,0.3678310017804214,0.1226851851851852,6.238728959182049e-05,2.8153770813263965e-06
Melakukan Gerakan Berat,anggota,0.35731213295094516,0.1226851851851852,9.044476130501308e-05,3.964818427164506e-06
Melakukan Gerakan Berat,sopir,0.3515827392246468,0.1226851851851852,6.238728959182049e-05,2.6910129418452732e-06
Paparan/Kontak dengan Suhu Ekstrem ,bakar,0.999,0.1273148148148149,8.577484333378128e-05,1.0909487886515313e-05
Paparan/Kontak dengan Suhu Ekstrem ,api,0.5393149331183561,0.1273148148148149,7.021247161473407e-05,4.8209835504944774e-06
Paparan/Kontak dengan Suhu Ekstrem ,gudang,0.3567833744362505,0.1273148148148149,6.236233118159503e-05,2.832734635688489e-06
Paparan/Kontak dengan Suhu Ekstrem ,museum,0.33159555196735646,0.1273148148148149,6.236233118159503e-05,2.6327521751325592e-06
Paparan/Kontak dengan Suhu Ekstrem ,madam,0.307401749395681,0.1273148148148149,6.990132466097723e-05,2.7357139391719746e-06
Paparan/Kontak dengan Suhu Ekstrem ,gedung,0.24011124293542088,0.1273148148148149,0.00012459923422161392,3.8089635066584155e-06
Paparan/Kontak dengan Suhu Ekstrem ,korsleting,0.1926942189860942,0.1273148148148149,6.236233118159503e-05,1.529924394827381e-06
Paparan/Kontak dengan Suhu Ekstrem ,nasional,0.18509685030102419,0.1273148148148149,7.288928284715615e-05,1.7176775860277764e-06
Paparan/Kontak dengan Suhu Ekstrem ,laku,0.16393616242920578,0.1273148148148149,0.00010372029659156433,2.1647983944634387e-06
Paparan/Kontak dengan Suhu Ekstrem ,lihat,0.1580226511479645,0.1273148148148149,7.392071077382116e-05,1.487183027817505e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,gas,0.999,0.12500000000000008,6.390456743383557e-05,7.980082858300223e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,bakar,0.9184773763524262,0.12500000000000008,8.355636459808685e-05,9.5930788166997e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,ledak,0.7218520182101141,0.12500000000000008,6.454106312050034e-05,5.823637083869946e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,bocor,0.7003899930831676,0.12500000000000008,6.241043387123441e-05,5.4639554184239234e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,kerja,0.5348237626714234,0.12500000000000008,0.0004999199928976167,3.342113645452185e-05
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,pt,0.5032935133006354,0.12500000000000008,0.00015518766390753208,9.763118073617511e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,korban,0.49448582046163847,0.12500000000000008,0.00042594380232215107,2.632789632022737e-05
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,sumur,0.47193159085373987,0.12500000000000008,6.241043387123441e-05,3.681681917840476e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,laku,0.4697195717163038,0.12500000000000008,8.019921673010249e-05,4.708892716805849e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,orang,0.44009727231558204,0.12500000000000008,0.00030020755444252974,1.651506572983613e-05
